"cohort_month","referral_source","month_number","mrr_amount","account_id"
"2023-08-01",event,4,2786,A-3c1a3f
"2023-09-01",other,9,833,A-9b9fe9
"2024-06-01",event,5,995,A-e7a1e2
"2023-10-01",ads,3,5373,A-ba6516
"2024-05-01",organic,3,735,A-fa2041
"2023-07-01",partner,5,796,A-417d2f
"2024-11-01",partner,1,304,A-5f2961
"2024-06-01",ads,5,4577,A-cc8c8f
"2023-05-01",organic,17,1078,A-80eeb6
"2023-11-01",event,3,1323,A-f03140
"2023-01-01",event,8,1274,A-f17767
"2023-11-01",ads,8,741,A-7920cc
"2024-07-01",organic,2,2205,A-0cc442
"2024-03-01",partner,3,152,A-ef84cf
"2024-04-01",event,0,95,A-b30291
"2023-07-01",partner,8,392,A-e19ff6
"2023-08-01",other,16,1159,A-2e3bad
"2024-03-01",other,8,589,A-f5641b
"2023-10-01",other,4,19303,A-aa9511
"2023-05-01",ads,9,833,A-075038
"2024-04-01",event,6,392,A-cea1f0
"2023-11-01",organic,9,784,A-a1b80b
"2024-03-01",ads,8,2450,A-b2225d
"2024-02-01",organic,6,539,A-b9eed8
"2024-06-01",event,2,6169,A-bcf87c
"2023-09-01",organic,9,5572,A-9f9299
"2023-01-01",organic,5,969,A-10b8f2
"2024-10-01",organic,2,12935,A-0651a4
"2023-12-01",partner,2,3184,A-40a557
"2024-09-01",partner,0,627,A-2789e3
"2023-05-01",ads,0,294,A-49b828
"2023-12-01",event,10,665,A-c16b88
"2024-11-01",partner,0,361,A-5c9849
"2023-06-01",ads,15,1519,A-993085
"2024-10-01",other,2,8159,A-e4144b
"2024-09-01",event,0,2388,A-7dacce
"2024-03-01",ads,0,2388,A-a0ca4e
"2024-03-01",partner,4,437,A-ef84cf
"2023-11-01",ads,3,741,A-7920cc
"2024-09-01",partner,1,209,A-2789e3
"2024-03-01",event,6,1178,A-7c5768
"2024-01-01",other,7,1029,A-ccb686
"2023-05-01",ads,1,779,A-2ebb4b
"2024-06-01",event,3,3980,A-53f4e3
"2023-12-01",ads,0,15522,A-a8d89d
"2023-03-01",organic,17,1666,A-7f8241
"2023-06-01",partner,3,2189,A-54ecc2
"2023-06-01",event,7,8557,A-95b24a
"2024-08-01",partner,1,950,A-bbc346
"2024-03-01",organic,9,5771,A-31ab9a
"2024-01-01",organic,6,912,A-faa28c
"2024-02-01",event,2,2786,A-8adedc
"2024-09-01",ads,0,3283,A-e08cd3
"2024-06-01",event,2,1990,A-bcf87c
"2023-02-01",ads,18,98,A-e6afc1
"2024-09-01",event,3,779,A-7f29a7
"2023-09-01",ads,10,13930,A-fa3095
"2023-03-01",other,15,833,A-9affe6
"2023-11-01",other,9,784,A-296d7c
"2024-02-01",organic,5,1045,A-812c5b
"2023-03-01",organic,9,646,A-7f8241
"2024-04-01",ads,3,3980,A-d4ac0e
"2024-12-01",organic,0,684,A-17939a
"2023-12-01",partner,5,266,A-855a48
"2024-07-01",other,1,196,A-f3ff05
"2023-07-01",partner,17,1274,A-417d2f
"2024-03-01",organic,6,539,A-202b67
"2023-07-01",partner,14,1323,A-eafc6e
"2024-04-01",organic,3,779,A-82861f
"2024-06-01",event,2,686,A-08e34e
"2023-03-01",other,10,2156,A-e43bf7
"2023-11-01",organic,5,722,A-a1b80b
"2024-12-01",organic,0,361,A-443f6f
"2023-01-01",event,4,980,A-32728c
"2024-07-01",partner,4,2597,A-ac85cd
"2023-07-01",partner,11,49,A-e19ff6
"2023-02-01",event,22,5572,A-6e08f3
"2024-05-01",organic,2,995,A-544d0a
"2024-09-01",event,1,779,A-8b0451
"2024-06-01",ads,3,1666,A-8ae3fc
"2024-06-01",ads,5,171,A-8ae3fc
"2023-09-01",event,5,2401,A-4437e4
"2024-08-01",other,2,7562,A-4d1e75
"2023-10-01",ads,13,796,A-098560
"2023-08-01",event,12,1029,A-ac9111
"2023-08-01",event,14,4018,A-3c1a3f
"2023-09-01",other,11,245,A-9b9fe9
"2024-03-01",event,2,4776,A-029f69
"2023-06-01",other,13,247,A-c7e58b
"2023-11-01",ads,8,5572,A-00bed1
"2024-04-01",event,8,4179,A-cea1f0
"2024-03-01",event,4,7164,A-4c38bc
"2023-11-01",ads,11,4577,A-157070
"2024-06-01",event,6,4179,A-bcf87c
"2024-06-01",ads,3,441,A-8ae3fc
"2023-10-01",ads,2,588,A-1b9609
"2023-09-01",ads,6,2597,A-9bfc9f
"2024-02-01",organic,10,10945,A-812c5b
"2023-02-01",partner,0,1176,A-39b19f
"2023-04-01",organic,3,285,A-de58ca
"2024-08-01",other,3,2254,A-e60f9d
"2023-03-01",other,7,1393,A-9affe6
"2024-08-01",other,4,722,A-e60f9d
"2024-07-01",ads,1,2156,A-d27f50
"2023-05-01",ads,3,551,A-fdfc91
"2023-12-01",ads,2,8756,A-712f1c
"2023-06-01",other,8,3980,A-19b2c8
"2023-12-01",partner,3,2940,A-f51f16
"2024-10-01",event,2,304,A-d3c88e
"2024-09-01",partner,1,1349,A-eb1312
